id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,input width,62,77,34,87,344,ship,baseline,monotonic-signal,raise-signal
m002,g002,search depth,48,36,22,62,246,ship,edge,drag-penalty,drop-slack
m003,g003,boundary pressure,93,70,24,45,439,ship,recovery,confidence-floor,raise-drag
m004,g004,complexity,31,14,16,37,143,watch,negative,lane-boundary,lower-confidence
m005,g005,input width,101,23,17,57,450,ship,baseline,monotonic-signal,raise-signal
m006,g006,search depth,82,54,40,65,367,ship,edge,drag-penalty,drop-slack
m007,g007,boundary pressure,36,54,18,74,236,ship,recovery,confidence-floor,raise-drag
m008,g008,complexity,61,16,40,27,207,ship,negative,lane-boundary,lower-confidence
m009,g009,input width,42,69,14,70,279,ship,baseline,monotonic-signal,raise-signal
m010,g010,search depth,110,17,24,47,456,ship,edge,drag-penalty,drop-slack
m011,g011,boundary pressure,64,45,16,83,352,ship,recovery,confidence-floor,raise-drag
m012,g012,complexity,89,56,24,49,413,ship,negative,lane-boundary,lower-confidence
m013,g013,input width,114,29,43,56,455,ship,baseline,monotonic-signal,raise-signal
m014,g014,search depth,72,7,44,101,308,ship,edge,drag-penalty,drop-slack
m015,g015,boundary pressure,103,50,32,85,483,ship,recovery,confidence-floor,raise-drag
m016,g016,complexity,78,34,17,25,337,ship,negative,lane-boundary,lower-confidence
m017,g017,input width,78,63,36,105,408,ship,baseline,monotonic-signal,raise-signal
m018,g018,search depth,112,0,26,100,496,ship,edge,drag-penalty,drop-slack
m019,g019,boundary pressure,49,21,29,59,218,ship,recovery,confidence-floor,raise-drag
m020,g020,complexity,65,64,43,73,311,ship,negative,lane-boundary,lower-confidence
m021,g021,input width,42,53,13,61,256,ship,baseline,monotonic-signal,raise-signal
m022,g022,search depth,64,39,20,44,299,ship,edge,drag-penalty,drop-slack
m023,g023,boundary pressure,39,16,11,49,199,ship,recovery,confidence-floor,raise-drag
m024,g024,complexity,30,72,19,43,197,ship,negative,lane-boundary,lower-confidence
m025,g025,input width,126,33,7,64,587,ship,baseline,monotonic-signal,raise-signal
m026,g026,search depth,32,39,44,73,152,watch,edge,drag-penalty,drop-slack
m027,g027,boundary pressure,81,61,50,39,324,ship,recovery,confidence-floor,raise-drag
